Book.ID,Title,genre
10357575,1Q84,Fiction
10357575,1Q84,Fantasy
10357575,1Q84,SciFi
54572,A Disorder Peculiar to the Country,Fiction
38169,"Alas, Babylon",Fiction
38169,"Alas, Babylon",SciFi
34928122,Artemis,Fiction
34928122,Artemis,SciFi
18498558,"Bird Box (Bird Box, #1)",Fiction
18498558,"Bird Box (Bird Box, #1)",Fantasy
944267,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",SelfHelp
10567,Cell,Fiction
10567,Cell,Fantasy
10567,Cell,SciFi
39122774,"Children of Virtue and Vengeance (Legacy of Orïsha, #2)",Fiction
39122774,"Children of Virtue and Vengeance (Legacy of Orïsha, #2)",Fantasy
10603,Cujo,Fiction
10603,Cujo,Fantasy
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Fiction
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",SciFi
116597,"Dorothy and the Wizard in Oz (Oz, #4)",Fiction
116597,"Dorothy and the Wizard in Oz (Oz, #4)",Childrens
116597,"Dorothy and the Wizard in Oz (Oz, #4)",Fantasy
38355410,Elevation,Fiction
38355410,Elevation,Fantasy
36618537,Empath: A Complete Guide for Developing Your Gift and Finding Your Sense of Self,SelfHelp
64218,"Eric (Discworld, #9; Rincewind #4)",Fiction
64218,"Eric (Discworld, #9; Rincewind #4)",Fantasy
44295552,"Ghastly Gadgets (Cozy Corgi Mysteries, #12)",Fiction
44295552,"Ghastly Gadgets (Cozy Corgi Mysteries, #12)",Mystery
765300,"Glinda of Oz (Oz, #14)",Fiction
765300,"Glinda of Oz (Oz, #14)",Childrens
765300,"Glinda of Oz (Oz, #14)",Fantasy
64216,"Guards! Guards! (Discworld, #8; City Watch #1)",Fiction
64216,"Guards! Guards! (Discworld, #8; City Watch #1)",Fantasy
376494,Herself Surprised,Fiction
42390721,"Hope Rides Again (Obama Biden Mysteries, #2)",Fiction
42390721,"Hope Rides Again (Obama Biden Mysteries, #2)",Mystery
23346377,"In a Dark, Dark Wood",Fiction
23346377,"In a Dark, Dark Wood",Mystery
10585,Insomnia,Fiction
